constituency_code,prediction
E14001413,Lab
E14001414,Lab
E14001415,Lab
E14001416,Lab
E14001417,Con
E14001418,Lab
E14001419,Lab
E14001420,Lib Dems
E14001421,Lab
E14001422,Lab
E14001423,Lab
E14001424,Lab
E14001425,Lab
E14001426,Lab
E14001427,Lab
E14001428,Lab
E14001429,Con
E14001430,Lab
E14001431,Con
E14001432,Lab
E14001433,Lab
E14001434,Lab
E14001435,Lab
E14001436,Lab
E14001437,Con
E14001438,Lab
E14001439,Con
E14001440,Lab
E14001441,Lab
E14001442,Con
E14001443,Lab
E14001444,Con
E14001445,Lib Dems
E14001446,Lab
E14001447,Lab
E14001448,Con
E14001449,Con
E14001450,Lab
E14001451,Lab
E14001452,Lab
E14001453,Lab
E14001454,Lab
E14001455,Lab
E14001456,Con
E14001457,Lab
E14001458,Con
E14001459,Lab
E14001460,Con
E14001461,Lab
E14001462,Lab
E14001463,Lab
E14001464,Lab
E14001465,Con
E14001466,Lab
E14001467,Lab
E14001468,Lib Dems
E14001469,Lab
E14001470,Lab
E14001471,Lab
E14001472,Lab
E14001473,Lab
E14001474,Con
E14001475,Con
E14001476,Con
E14001477,Lab
E14001478,Lab
E14001479,Con
E14001480,Reform
E14001481,Lib Dems
E14001482,Lib Dems
E14001483,Lab
E14001484,Lib Dems
E14001485,Lab
E14001486,Con
NA,Con
E14001488,Con
E14001489,Lab
E14001490,Con
E14001491,Lab
E14001492,Lab
E14001493,Con
E14001494,Con
E14001495,Con
E14001496,Con
E14001497,Con
E14001498,Lab
E14001499,Lab
E14001500,Lab
E14001501,Lab
E14001502,Lab
E14001503,Lab
E14001504,Lab
E14001505,Con
E14001506,Lab
E14001507,Lib Dems
E14001508,Lab
E14001509,Lab
E14001510,Lab
E14001511,Lib Dems
E14001512,Lib Dems
E14001513,Lab
E14001514,Lab
E14001515,Lab
E14001516,Lab
E14001517,Lab
E14001518,Lab
E14001519,Lab
E14001520,Lab
E14001521,Lab
E14001522,Lab
E14001523,Con
E14001524,Lab
E14001525,Lab
E14001526,Lib Dems
E14001527,Lab
E14001528,Lab
E14001529,Lab
E14001530,Lab
E14001531,Lab
E14001532,Con
E14001533,Con
E14001534,Lib Dems
E14001535,Lab
E14001536,Lab
E14001537,Lab
E14001538,Lab
E14001539,Lab
E14001540,Lib Dems
E14001541,Lab
E14001542,Con
E14001543,Lab
E14001544,Con
E14001545,Lib Dems
E14001546,Lab
E14001547,Lab
E14001548,Lib Dems
E14001549,Con
E14001550,Lab
E14001551,Lib Dems
E14001552,Con
E14001553,Lab
E14001554,Lab
E14001555,Con
E14001556,Lib Dems
E14001557,Lab
E14001558,Lab
E14001559,Lab
E14001560,Lab
E14001561,Lab
E14001562,Lab
E14001563,Lab
E14001564,Lab
E14001565,Lab
E14001566,Lab
E14001567,Lab
E14001568,Lab
